model,summary,article,faithfulness,coherence,relevance
anthropic_stanford-online-all-v4-s3,A fireman has been dismissed after a woman died in a house fire while waiting for help to arrive.,"The man, who has not been named, was dismissed following disciplinary proceedings, Devon and Somerset Fire Service said. Molly Wigmore, 76, died in the fire at her Plymouth home in October last year. The first 999 call was made at 05:17 GMT but none had arrived by the time a second call was made at 06:44, ahead of a fire engine arriving at 06:50. Ms Wigmore's house, in Sussex Road, is about a mile and a half from Camels Head Fire Station. An inquest is expected to examine whether the delay played any part in her death, on 19 October. The fire service said in a statement it was unable to comment on the case until the inquest was over. ""We continue to offer the family of the deceased our deepest condolences,"" the service added. Tributes left at the house said Ms Wigmore was an ""inspirational, kind, gentle and sweet lady"".",1,5,5
anthropic_stanford-online-all-v4-s3,"A hospital in the Highlands has reopened after a norovirus outbreak, but visitors are being asked to limit their visits to two per patient.","NHS Highland asked people to avoid the site last week, after 50 people fell ill with the sickness bug. Consultant microbiologist Dr Chin Lim said three wards remained closed to new admissions and visitors but the rest of the hospital was open. Tests have confirmed the presence of the bug in wards 7C, 2C and 2A. In a statement, Dr Lim thanked people for their ""patience and understanding"". He added: ""While I am pleased that we have been able to reopen to visiting we know norovirus is still in the community so would ask that visitors are limited to two per patient and that if you, or anyone you live with, has had symptoms of diarrhoea and vomiting you refrain from coming into the hospital until you are clear for 72 hours.""",1,5,4
anthropic_stanford-online-all-v4-s3,"A landlord banned ""coloured"" people from renting his properties because he said they left curry smells behind.","In an email from Fergus Wilson to his letting agency, leaked to The Sun, he banned ""coloured"" people from renting his homes ""because of the curry smell"". Rebecca Hilsenrath, head of the Equality and Human Rights Commission, said the remarks were ""truly disgusting"" as well as unlawful. Mr Wilson said it was ""not a colour issue"" but an ""economic judgement"". Speaking to BBC Asian Network, Mr Wilson, who has amassed nearly 1,000 buy-to-let properties in Kent, said a property he had bought from an Indian couple cost him about Â£12,000 because the curry smell became a ""massive problem"" and he was forced to rip up the carpet and take the house off the market for six months. ""If that makes me racist, that makes 99% of people who buy houses racist,"" he said. ""How many white people are going to go into a house that smells of curry and are going to buy [it]?"" The Equality and Human Rights Commission is investigating and says it will seek legal action where necessary. Ms Hilsenrath said: ""There are still deep inequalities in our society as our race report demonstrated and these comments show why. ""As a country we all assume we have left the dark ages behind, but clearly there is more to be done. ""We will investigate and will be asking Mr Wilson to explain his actions. Unless we are satisfied that he will not break the law in the future we will take legal action"". Kent Police also said it was working to establish if any offences had taken place. In the past, Mr Wilson evicted all 200 of his housing benefit tenants, saying he would rather have ""migrants as tenants than people on benefits"".",1,5,4
anthropic_stanford-online-all-v4-s3,"A large area of woodland in Devon has been engulfed in a huge gorse fire, which has been fanned by strong winds.","Four were treated for smoke inhalation and one was taken to hospital with burns, Devon and Somerset Fire and Rescue Service said. The gorse fire, which began at about 13:45 BST, has engulfed a large area of dry heath-land on Woodbury Common. Twenty fire engine crews were sent to tackle the flames that were fanned by high winds. The fire is being fought on a number of fronts and a police helicopter has been deployed to help survey the scene. Chief Fire Officer Lee Howell said it was a ""very difficult incident"" and his teams were struggling with wind direction and a lack of water supplies. He said: ""It's a very, very large area - at the moment it's difficult to quantify and there is a fire front on a number of different parts of the common - and so our resources are being targeted to bring that under control in a number of different areas."" He added that firefighters will be at the scene overnight and into the early hours of Monday morning. The nearby Woodbury Park Golf and Country Club has been evacuated as a precaution. Smoke can be seen for miles around and the public have been advised to avoid the area.",1,5,4
anthropic_stanford-online-all-v4-s3,"A man who killed his wife in a ""fit of rage"" after she left him for another man will be sentenced for culpable homicide.","Asghar Buksh, 55, repeatedly struck mother-of-six Nasreen Buksh over the head with a heavy blunt object which has never been found. He admitted culpable homicide on the basis of diminished responsibility after saying he had no recollection of the killing at Dixon Avenue, Glasgow, on 24 September last year. Buksh will be sentenced on 27 June. The High Court in Glasgow heard that 43-year-old Mrs Buksh died after being struck on the head at least five times. Pathologists told the court that the lack of defensive injuries and the position of her body suggested she was assaulted as she slept. Following the attack, Buksh went to Cathcart Police Station and told an officer: ""I've come to hand myself in. I think my wife's dead. I hit her on the head. I did it."" The court was told that three psychiatrists described Buksh as suffering from an acute stress disorder at the time. Prosecutor Gordon Lamont said: ""The accused and his wife had been married for 25 years, but over the last 10 or 11 years their relationship appears to have broken down and they became increasingly estranged, albeit, still residing under the one roof. ""They slept separately and Mrs Buksh routinely slept on the sofa in the living room. Their children report that they barely spoke to each other."" Mr Lamont said the problems in the marriage intensified after Mrs Buksh went to Pakistan on holiday in May last year. He said she had become involved with another man and was making plans to move to Pakistan. The court also heard that two days before he killed his wife, Buksh went to Paisley Police Office and spoke with a support officer saying he feared his wife was going to take their youngest child, aged 10, to Pakistan and not return. He also made an emergency doctor's appointment and said he was suffering from stress and not sleeping. He was prescribed medication for stress. Defence counsel Sarah Livingstone said: ""My client has no memory of this incident. His amnesia is absolutely genuine. ""This is not a case where this man was a bad husband, there was no domestic abuse. This was an unhappy marriage, but however, unhappy it was it didn't justify killing his wife. ""He suffered an acute stress reaction. Three psychiatrists all agree that he was suffering from an abnormality of the mind."" Judge Lord Burns deferred sentence on Buksh until 27 June at the High Court in Edinburgh for background reports.",0,5,4
anthropic_stanford-online-all-v4-s3,A man who looks like Adolf Hitler has been spotted in the Austrian town where the Nazi leader was born.,"The 25-year-old man reportedly calls himself Harald Hitler. The man, sporting a side parting and a trademark moustache, had been seen having his photograph taken outside the house in Braunau am Inn in which Adolf Hitler was born. The lookalike had recently moved to the town on the German border, police spokesman David Furtner told the BBC. Mr Furtner said this was not a joke or a piece of performance art. ""The young man knows exactly what he is doing,"" the police spokesman said. He said the man had also been spotted in Vienna and Graz. Pictures of the man were published by Austria's Heute.at news website on Monday. Glorifying the Nazi era is a crime in Austria. Last October, the Austrian authorities decided to demolish Hitler's birthplace house to stop it becoming a focal point for neo-Nazis. Hitler was born in a rented room on the top floor of the building on 20 April 1889. During Nazi rule, the house was transformed into a shrine to Hitler as the town drew in a wave of tourists. But as the Nazis began to lose control in 1944, it was shut.",1,5,4
anthropic_stanford-online-all-v4-s3,A man who was banned from owning a gun after police looked at his Facebook posts has won his appeal.,"North Wales Police claimed Owen Jones, 52, of Caernarfon, Gwynedd, was not fit to hold a firearms certificate after officers looked at his profile. Mr Jones, who had held a licence for more than 30 years, appealed against the decision and won. Caernarfon Crown Court heard on Friday that he was not a cause for concern despite the posts. The hearing was told a senior police officer regarded the posts as ""highly offensive"", prompting the licence to be revoked. Judge Niclas Parry said Mr Jones was ignorant about the subject of the Muslim faith, but added: ""None of those messages were created by the appellant. ""The appellant has liked certain messages that appeared on his Facebook profile. He has then effectively re-published the message.""",1,5,4
anthropic_stanford-online-all-v4-s3,"A prison officer who was seriously injured in a bomb attack has died, police have said.","Adrian Ismay, 52, was seriously hurt after a booby-trap device exploded under his van in Belfast on 4 March. The police said that a post-mortem examination showed he died as a ""direct result of the injuries"" of the bomb. A dissident republican group, widely referred to as the new IRA, said it carried out the attack. The organisation said Mr Ismay was targeted for training officers at Maghaberry Prison near Lisburn, County Antrim. Sue McAllister, director general of the Northern Ireland Prison Service, spent time with the Ismay family on Wednesday. She said they were ""devastated and beyond shock at what's happened"". ""Like all of us, they thought that he was on the mend and was doing really well,"" said Mrs McAllister. ""We thought he would make a full recovery, we expected him to come back to work in due course, so we're all shocked, but particularly Sharon and her daughters."" Mrs McAllister condemned the behaviour of some paramilitary inmates at Maghaberry Prison, who reportedly cheered, smoked cigars and mocked wardens at the high-security jail when news of Mr Ismay's death filtered through. ""This was just unacceptable behaviour by a very small number of prisoners,"" said Mrs McAllister. ""My colleagues in Maghaberry dealt with it professionally, with great fortitude and with the courage they display on a daily basis."" She admitted she and her colleagues in the Prison Service felt ""very angry"" on hearing the reports of the celebrations in the exercise yard of the prison. ""We encounter challenging behaviour by a small number of prisoners every day, and we deal with it with great professionalism and we do not stoop to behaving that way in response,"" she added. A man appeared in court on Saturday charged in connection with the bomb attack on Mr Ismay. Det Ch Insp Richard Campbell said it was ""yet another difficult day for the Ismay family, his friends and colleagues as they struggle to come to terms with the events of the past 12 days"". He added: ""We have spoken to the family this morning and advised them of this development. ""We are also liaising with the Public Prosecution Service in relation to the individual who is currently charged with attempted murder and causing an explosion with intent to endanger life."" The PSNI have also repeated an appeal for information on two cars that police believe may have been used by the bombers - a red Citroen C3 and a silver Skoda Fabia.",0,5,4
anthropic_stanford-online-all-v4-s3,"A report following an unannounced inspection of a high-security jail found that the number of self-harm incidents was ""very high"".","A report following an unannounced inspection said the overall number of self-harm incidents at HMP Woodhill was also ""very high"". It said the prison's response to the deaths had ""lacked rigour"". The National Offender Management Service said a new governor was ""working hard"" to improve things. The high-security jail, which is mainly used to hold remand, newly-sentenced and short-term prisoners, was inspected in January. The report said recorded levels of assaults were ""very high and double what inspectors have seen in other local prisons"". But it said the ""general environment in the prison was good"" and the accommodation was ""reasonable"". Nick Hardwick, chief inspector of prisons, said: ""Woodhill is a prison that retains great potential, particularly in terms of the resources at its disposal. ""However, as we reported last time, outcomes for prisoners remained concerning and some were very disappointing."" Michael Spurr, chief executive of the National Offender Management Service, said the governor and his staff had a ""unique set of challenges"". ""Woodhill holds some of the most difficult and disruptive men in the prison estate,"" he said. ""The governor and his staff are working hard to reduce the incidents of violence and to improve rehabilitation.""",1,5,4
anthropic_stanford-online-all-v4-s3,A road in Staffordshire has been closed to allow for the installation of new water pipes.,"The water pipes in the town are old and prone to leaks and bursts, Severn Trent Water said. Part of Milford Road is expected to be closed until the summer as a metal water pipe is replaced. Diversions will be in place. The road is ""just too narrow"" in parts to be kept open as large machinery will be used, a spokesman said. More than 12 miles (20km) of new water pipes are being laid from the Shugborough area into Stafford town centre. In the first phase, which began in September, pipes were installed on Tixall Road for a new housing development nearby.",1,5,5
anthropic_stanford-online-all-v4-s3,A teacher who was accused of allowing a hardline Muslim agenda to influence his pupils has been cleared of misconduct.,"Asif Kahn, who worked at Oldknow Academy in Birmingham, had faced allegations of misconduct. A National College of Teaching and Leadership panel heard the allegations against him in November, although Mr Khan did not appear at the hearing. The Professional Conduct Panel has said it did not find the case proven. Oldknow Academy was one of several schools investigated amid claims of a Muslim hardliners' plot to control them; known as the Trojan Horse affair. More on this and other stories from Birmingham and the Black Country Mr Khan had been accused of agreeing ""to the inclusion of an undue amount of religious influence in the education of pupils"" at Oldknow, on or before 31 July 2014. The accusations had included telling some male pupils to change for PE in a cupboard so they would not show their thighs, banning children singing during a production of The Wizard of Oz and turning his back on a woman as she offered to shake his hand. He was also accused of sharing his personal beliefs with the children, for example telling the children they were not allowed pet dogs as they were Muslim. A fellow teacher, former-acting head teacher Jahangir Akbar, was banned from teaching indefinitely in January, although he can apply to have his ban set aside in five years time.",1,5,4
anthropic_stanford-online-all-v4-s3,A union official who led a long-running strike over refuse collection has been elected to lead the GMB union.,"Mr Roache, who is secretary of the union's Yorkshire region, won 56.7% of the vote, while the only other candidate, Paul McCarthy, from the North West region, had 43.3%. The union is the third largest in the UK with more than 600,000 members. Current general secretary Paul Kenny announced in the summer he was standing down after almost a decade in the job. Mr Roache has 35 years experience at the GMB and led the Leeds City Council 13-week refuse and street cleaning strike in 2009 - the longest in the union's history. He said he was ""proud and humbled"" to have been elected. ""I will repay GMB members' faith in me by leading a 21st Century union that fights for our members, their families and communities, every hour of every day."" Mr Roache also paid tribute to Mr Kenny for his work ""that has made GMB the envy of the union movement"". Details of the handover date have yet to be agreed. The GMB is one of the three largest affiliates to the Labour Party and is a significant financial contributor to the party locally and nationally.",1,5,5
anthropic_stanford-online-all-v4-s3,A woman was beaten to death in a McDonald's restaurant in China after she refused to give her phone number to cult members.,"The woman, 37-year-old Wu Shuoyan, is alleged to have been killed last May simply for refusing to hand over her phone number to cult members. The murder, filmed on CCTV and on mobile phones, sparked outrage. The Church of the Almighty God cult is banned in China but claims to have millions of members. Following the brutal killing in May, Chinese authorities said that they detained hundreds of members of the cult, reports the BBC's Martin Patience in Beijing. Interviewed in prison later, one of the defendants, Zhang Lidong showed no remorse. He said: ""I beat her with all my might and stamped on her too. She was a demon. We had to destroy her."" The group had entered a small McDonalds branch in Zhaoyuan in Shandong province last May soliciting phone numbers and hoping to recruit members to their cult. Ms Wu was waiting in the restaurant with her seven-year-old son and when she refused to give her number, an act which prompted the beating while they screamed at other diners to keep away or they would face the same fate. The public face of the Church of the Almighty God is a website full of uplifting hymns and homilies. But its core belief is that God has returned to earth as a Chinese woman to wreak the apocalypse. The only person who claims direct contact with this god is a former physics teacher, Zhao Weishan, who founded the cult 25 years ago and has since fled to the United States, says BBC China Editor Carrie Gracie. No-one knows exactly where he is, but much of the website's message of outright hostility to the Chinese government is delivered in English as well as Chinese. The cult complains that religious faith has suffered from persecution by the Communist Party. Since the McDonald's murder, public outrage has forced the authorities to increase pressure on the Church of the Almighty God with almost daily arrests and raids.",1,5,5
anthropic_stanford-online-all-v4-s3,"A writer-activist in India has been detained after a complaint by the Hindu nationalist BJP's youth wing, which accused him of insulting the national anthem.","Kamal C Chavara was detained by the police in Kerala state on Sunday after the youth wing of the Hindu nationalist BJP lodged a complaint against him. Last month, the Supreme Court ruled that the anthem must be played in every cinema before a film is screened. Some 20 people have been held in Kerala and Tamil Nadu since then for remaining seated during the anthem. Also, India's colonial-era sedition law has been often used against students, journalists, writers and social activists and those critical of the government. Reports said that the BJP's youth wing lodged a complaint against a Facebook post by Mr Chavara which allegedly insulted the anthem. The post was apparently an excerpt from one of his books. Senior police official Sateesh Bino told the NDTV news channel that the writer-activist ""is being questioned for his controversial post on the national anthem on Facebook"" and had been charged with sedition. Earlier this month, 12 people were arrested at a cinema in Kerala, after they remained seated while the national anthem played. The cinemagoers, who were attending an international film festival, were later freed but they face charges of ""failure to obey an order issued by a public servant, thereby causing obstruction or annoyance to others"". And at a cinema in Chennai, eight people who did not stand for the anthem were assaulted and abused, police said. The eight were later charged with showing disrespect to the anthem.",1,5,5
